filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
project\KubeSec-master\TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/special.secret1.yaml',106,22,59,[106],https://bandit.readthedocs.io/en/1.7.5/plugins/b105_hardcoded_password_string.html
project\KubeSec-master\constants.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'Secret',81,31,39,[81],https://bandit.readthedocs.io/en/1.7.5/plugins/b105_hardcoded_password_string.html
project\KubeSec-master\parser.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,16,0,17,[16],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_imports.html#b404-import-subprocess
project\KubeSec-master\parser.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,348,25,17,"[348, 349, 350]",https://bandit.readthedocs.io/en/1.7.5/plugins/b607_start_process_with_partial_path.html
project\KubeSec-master\parser.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,348,25,17,"[348, 349, 350]",https://bandit.readthedocs.io/en/1.7.5/plugins/b603_subprocess_without_shell_equals_true.html
project\KubeSec-master\parser.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,367,21,13,"[367, 368, 369]",https://bandit.readthedocs.io/en/1.7.5/plugins/b607_start_process_with_partial_path.html
project\KubeSec-master\parser.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,367,21,13,"[367, 368, 369]",https://bandit.readthedocs.io/en/1.7.5/plugins/b603_subprocess_without_shell_equals_true.html
project\vault4paper.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'REPLACE_THIS_WITH_YOUR_OWN',27,27,55,[27],https://bandit.readthedocs.io/en/1.7.5/plugins/b105_hardcoded_password_string.html
project\vault4paper.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,"Possible hardcoded password: 'Deferred('vault_lookup::lookup', ['",30,27,63,[30],https://bandit.readthedocs.io/en/1.7.5/plugins/b105_hardcoded_password_string.html
project\vault4paper.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,68,18,43,[68],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_calls.html#b311-random
project\vault4paper.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'Q',94,21,24,[94],https://bandit.readthedocs.io/en/1.7.5/plugins/b105_hardcoded_password_string.html
project\vault4paper.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'q',94,38,41,[94],https://bandit.readthedocs.io/en/1.7.5/plugins/b105_hardcoded_password_string.html
